Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-07,12.706600781326035,12.84511715038937,12.623490607621795,12.826648712158203,3718000,0.0,0.0
2024-06-11,12.808178805776437,12.817413464801243,12.235643156221775,12.244877815246582,7655206,0.0,0.0
2024-06-12,12.21717361657903,12.660427554408956,12.134064328859862,12.641958236694336,5387511,0.0,0.0
2024-06-13,12.641959323315401,12.817414334023104,12.383395017744993,12.531146049499512,4400940,0.0,0.0
2024-06-14,12.55885011780658,12.678897171462026,12.429567523768746,12.457270622253418,5367819,0.0,0.0
2024-06-17,12.558848856640614,12.614255048046038,12.152532676561684,12.327987670898438,5547469,0.0,0.0
2024-06-18,12.327988140186456,12.595787090615028,12.281815725147274,12.558849334716797,4337247,0.0,0.0
2024-06-19,12.549614710811214,12.605020904481341,12.244878003628804,12.272581100463867,4964634,0.0,0.0
2024-06-20,12.291049875781408,12.438800893261561,12.291049875781408,12.364925384521484,3496834,0.0,0.0
2024-06-21,12.438801468260499,12.743538176066531,12.355691296919659,12.697365760803223,6998050,0.0,0.0
2024-06-24,12.688130600157702,12.854350936270029,12.586551995125467,12.752772331237793,5984149,0.0,0.0
2024-06-25,12.68813078820946,12.882054222992817,12.521911330299119,12.780475616455078,5715076,0.0,0.0
2024-06-26,12.725068986460082,13.002102600177663,12.494207788473027,12.586552619934082,6667657,0.0,0.0
2024-06-27,12.605020523071289,12.651192936842996,12.392628652653194,12.605020523071289,3845001,0.0,0.0
2024-06-28,12.605021203708336,12.965164993775794,12.558849668109033,12.900524139404297,4915950,0.0,0.0
2024-07-01,12.817413487473983,13.140618627923924,12.817413487473983,13.13138484954834,4708200,0.0,0.0
2024-07-02,13.075977902129516,13.297604437261915,12.669662587720115,13.0205717086792,5419990,0.0,0.0
2024-07-03,12.909757832044326,13.14061903116385,12.90052405338539,12.97439956665039,4473601,0.0,0.0
2024-07-04,12.835882090488388,13.020571751031701,12.826648311993678,12.983633995056152,5109642,0.0,0.0
2024-07-05,12.983633995056152,12.983633995056152,12.983633995056152,12.983633995056152,0,0.0,0.0
2024-07-08,12.882054792580655,13.251433241229867,12.817413938349919,13.112915992736816,7958100,0.0,0.0
2024-07-09,13.16832322455114,13.731624242577915,13.066743731650888,13.602341651916504,6863965,0.0,0.0
2024-07-10,13.602340549159255,13.66698227958218,13.306838515221973,13.537699699401855,4938353,0.0,0.0
2024-07-11,13.500763013189948,13.593107846433409,13.094447684383034,13.251433372497559,5634701,0.0,0.0
2024-07-12,13.271673200003157,13.271673200003157,12.953614837279044,13.08854866027832,6171012,0.601,0.0
2024-07-15,13.049996273199708,13.319863000087858,12.915062450174897,13.271673202514648,5039911,0.0,0.0
2024-07-16,13.358415387115402,13.358415387115402,13.021082208359417,13.08854866027832,3116100,0.0,0.0
2024-07-17,13.069272919025618,13.117462716567367,12.654834042204001,12.7415771484375,5988918,0.0,0.0
2024-07-18,12.731938755062291,13.011443807493848,12.462072029753555,12.943977355957031,6725315,0.0,0.0
2024-07-19,12.8572349245918,12.924701379667525,12.606643921222666,12.693387031555176,4283607,0.0,0.0
2024-07-22,12.71266248495743,12.71266248495743,12.327138580009793,12.625920295715332,4021260,0.0,0.0
2024-07-23,12.625920295715332,12.770491530280324,12.510262205069548,12.625920295715332,3370800,0.0,0.0
2024-07-24,12.674109885538758,13.127101155756106,12.587367697726544,13.049996376037598,6283500,0.0,0.0
2024-07-25,12.992167263991591,13.348778017283951,12.934339139084676,13.252396583557129,8804200,0.0,0.0
2024-07-26,13.252397004026966,13.474073021805896,12.837958112678441,13.445158958435059,6469113,0.0,0.0
2024-07-29,13.348777958986954,14.090911686461128,13.233119871355282,13.984892845153809,8912919,0.0,0.0
2024-07-30,13.936702957555589,14.42824664216559,13.58009310376839,14.370417594909668,8749724,0.0,0.0
2024-07-31,14.21620760414642,14.804131791114676,13.801768715453186,14.707751274108887,10779842,0.0,0.0
2024-08-01,14.611369902646267,15.40169437373648,14.399331293636147,15.035447120666504,12970890,0.0,0.0
2024-08-02,14.939065713845887,15.411332731942899,14.76557949529535,15.363142013549805,8887228,0.0,0.0
2024-08-05,15.228208609688552,15.517351991480142,14.987255944722472,15.025808334350586,7121371,0.0,0.0
2024-08-06,15.093274810903537,15.160741263071857,13.830683359162705,14.129464149475098,15233801,0.0,0.0
2024-08-07,13.984893513839914,14.21620786184059,13.955978530968695,14.081274032592773,4679400,0.0,0.0
2024-08-08,14.177655464574766,14.457160531415676,14.033084226925215,14.264398574829102,5456200,0.0,0.0
2024-08-09,14.351141079567604,14.437883267000526,14.090911759784419,14.129464149475098,2827100,0.0,0.0
2024-08-12,14.264398534936381,14.534265273402857,14.100550642505643,14.447522163391113,3909101,0.0,0.0
2024-08-13,14.611369627650678,14.929427075599055,14.360778632551506,14.784855842590332,5259552,0.0,0.0
2024-08-14,14.640284144641287,14.861961083848632,14.56317936208956,14.79449462890625,2992300,0.0,0.0
2024-08-15,14.939065151527279,14.948703478675403,14.601731054634657,14.698112487792969,4624578,0.0,0.0
2024-08-16,14.698113020733894,14.755942066558005,14.466798675760447,14.505351066589355,3343730,0.0,0.0
2024-08-19,14.563179331664498,14.717389815607289,14.43788383048933,14.630646705627441,2649424,0.0,0.0
2024-08-20,14.64992247796081,14.736665588155692,14.466798849119462,14.611370086669922,2160258,0.0,0.0
2024-08-21,14.649922441644346,14.659560769233554,14.47643714084616,14.630646705627441,2569300,0.0,0.0
2024-08-22,14.582455669544276,15.10291339893725,14.5631790147853,14.74630355834961,4320310,0.0,0.0
2024-08-23,14.73666505618428,15.016170112743898,14.534264779423076,14.987256050109863,4184400,0.0,0.0
2024-08-26,14.939065227896961,15.093274786409419,14.621007783674655,15.025808334350586,5120269,0.0,0.0
2024-08-27,14.939065835190004,15.083637072382077,14.408969766883217,14.630646705627441,5068780,0.0,0.0
2024-08-28,14.534265228984426,14.910151731499395,14.505351165456045,14.813770294189453,3429200,0.0,0.0
2024-08-29,14.929426893161086,14.929426893161086,14.360778457062436,14.495712280273438,5515100,0.0,0.0
2024-08-30,14.476436440101157,14.592093608088629,14.06199756544162,14.53426456451416,7624101,0.0,0.0
2024-09-02,14.399331422536664,15.343866384465064,14.20656946678439,15.324589729309082,7912377,0.0,0.0
